AODAPI,AH,AEA,ALA,AN,Experiment name
97.01604609,70,18.995,8.165,3.41,Annexin-1-2
95.94386611,70,20.085,7.26,2.69,
94.79845872,62,25.97,9.255,2.605,
84.71686921,51.5,24.29,20.685,3.335,
82.26251473,45,11.665,37.005,6.055,
64.26218466,36.18,16.22,43.945,3.685,
69.12446625,37.875,9.47,47.59,5.06,
98.04442824,82.25,11.805,3.995,1.955,Annexin-3-4
98.13647415,87.94,7.74,2.41,1.905,
97.350531,80.5,12.795,5.15,1.555,
94.65245751,72.38,17.485,7.42,2.705,
92.07259368,46.905,36.335,15.555,1.2,
82.0385009,48.46,23.79,24.38,3.37,
54.44248817,52.7,11.58,28.98,6.745,
97.24240964,78.8,15.5,3.7,2,Annexin-5-6
95.92842463,75.5,16.9,5.3,2.3,
96.92738487,73.9,18.5,5.6,2,
96.58036718,77.1,15.5,4.5,2.9,
91.78613756,67.5,22.6,8.4,1.6,
91.09953275,70,19.1,9,1.9,
64.77431716,45.8,27.8,25,1.4,
98,55.34,20.9325,21.865,1.8675,Annexin-10-11
98,41.2925,35.2475,21.8575,1.6,
98,54.125,23.0675,20.555,2.2525,
97,46.405,32.295,19.35,1.9475,
97,43.095,31.3825,22.9,2.62,
90,7.225,62.91,29.4825,0.38,
67,1.1875,43.96,54.7375,0.11,
99,71.9,19.2,7.3,1.6,Annexin-12-13
96,60.6,28.7,9.9,0.8,
96,59.9,28.6,10.4,1.2,
95,52.6,33.9,12.7,0.7,
93,44.6,40.5,14.3,0.6,
87,31.4,51.3,16.7,0.6,
73,23.9,42.5,32.9,0.7,