Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,84060.6339,80385.85209,67983.46348,88654.11116
24,73954.98392,81763.89527,81763.89527,90491.50207
48,100597.152,116214.9747,108406.0634,117133.6702
72,221864.9518,242994.9472,221864.9518,278364.7221
96,440055.1217,474046.8535,479099.6785,509875.9761
120,878732.2003,1005512.173,900321.5434,938447.4047
168,2622589.532,2853994.49,2909090.909,2888888.889
192,3619834.711,3861340.68,3937557.392,4011937.557
216,3261707.989,3646464.646,3551882.461,3910009.183
240,3043158.861,3009182.736,3027548.209,3252525.253
264,2930211.203,2944903.581,2935720.845,3182736.455
288,4267217.631,4278236.915,4393021.12,4025711.662
312,3872359.963,4271808.999,4194674.013,4852157.943
336,3210284.665,3253443.526,3700642.792,3651056.015